product|prod_func
company1-product60|min{(company0-product23)/0.530, (company16-product99)/0.531, (company15-product85)/0.259, (company16-product12)/0.643, (company18-product91)/0.456}
company1-product16|0.264(company16-product56)+ 0.821(company16-product99)+ 0.622(company1-product62)+ 0.306(company15-product85)+ 0.530(company11-product5)+ 0.443(company6-product79)+ 0.310(company10-product67)+ 0.519(company9-product36)
company1-product27|ExoProd[0.0831]
company1-product51|0.238(company16-product56)+ 0.699(company11-product79)+ 0.189(company15-product85)+ 0.703(company9-product40)+ 0.679(company3-product4)+ 0.713(company1-product80)+ 0.809(company12-product99)
company2-product77|0.192(company0-product93)+ 0.883(company19-product17)+ 0.889(company0-product73)+ 0.472(company11-product24)+ 0.883(company12-product82)+ 0.181(company11-product14)+ 0.314(company1-product81)
company2-product30|ExoProd[0.0942]
company2-product76|0.532(company1-product27)+ 0.688(company13-product86)+ 0.309(company0-product1)+ 0.469(company9-product53)+ 0.527(company6-product20)+ 0.664(company3-product85)
company2-product84|0.794(company1-product30)+ 0.412(company13-product25)+ 0.638(company18-product91)+ 0.404(company9-product53)+ 0.323(company3-product85)
company2-product75|0.179(company16-product20)+ 0.286(company1-product80)
company2-product57|ExoProd[0.0443]
company2-product7|0.744(company16-product12)
company2-product17|0.385(company11-product57)
company2-product92|8.703893196269835 x (company1-product27)^0.151 x (company16-product56)^0.149 x (company1-product23)^0.140 x (company3-product99)^0.077 x (company10-product67)^0.142 x (company9-product36)^0.062 x (company6-product20)^0.134 x (company7-product88)^0.145
company2-product86|ExoProd[0.0936]
company2-product82|min{(company17-product27)/0.677, (company12-product30)/0.669, (company16-product12)/0.488, (company18-product91)/0.623, (company11-product25)/0.614}
company2-product72|min{(company1-product23)/0.717, (company17-product27)/0.494, (company2-product57)/0.293, (company8-product5)/0.326, (company1-product80)/0.651, (company3-product85)/0.555, (company7-product88)/0.327}
company3-product58|8.377634088851122 x (company16-product56)^0.228 x (company16-product40)^0.196 x (company6-product4)^0.183 x (company16-product12)^0.162 x (company9-product53)^0.073 x (company12-product99)^0.158
company3-product61|ExoProd[0.0913]
company3-product37|min{(company1-product27)/0.613, (company9-product40)/0.427, (company1-product23)/0.298, (company3-product85)/0.637}
company3-product62|ExoProd[0.0480]
company3-product21|3.2727741616368444 x (company16-product8)^0.167 x (company11-product0)^0.223 x (company16-product96)^0.210 x (company0-product50)^0.218 x (company6-product94)^0.181
company3-product68|0.313(company19-product42)+ 0.125(company16-product13)+ 0.697(company16-product9)+ 0.613(company2-product76)+ 0.682(company16-product60)+ 0.544(company16-product89)
company3-product26|0.512(company17-product27)+ 0.114(company6-product40)+ 0.504(company0-product61)+ 0.137(company1-product80)+ 0.264(company0-product57)
company3-product66|1.7327322742978333 x (company2-product30)^0.205 x (company1-product23)^0.167 x (company1-product80)^0.227 x (company11-product36)^0.158 x (company7-product88)^0.243
company3-product73|0.290(company11-product23)+ 0.401(company1-product36)+ 0.691(company11-product86)+ 0.118(company3-product1)+ 0.733(company13-product61)+ 0.794(company12-product4)+ 0.721(company0-product25)
company3-product59|min{(company3-product66)/0.712, (company3-product74)/0.239, (company4-product7)/0.600, (company15-product83)/0.224, (company1-product52)/0.798, (company3-product2)/0.651, (company2-product84)/0.566}
company3-product90|0.382(company19-product36)+ 0.196(company3-product5)
company3-product2|1.25880252521091 x (company1-product80)^0.517 x (company17-product27)^0.483
company3-product19|min{(company16-product12)/0.324, (company16-product56)/0.735}
company3-product33|5.202204680893029 x (company16-product12)^0.202 x (company9-product53)^0.398 x (company11-product57)^0.400
company3-product5|ExoProd[0.0797]
company3-product96|0.720(company19-product42)+ 0.390(company2-product92)+ 0.813(company11-product34)+ 0.120(company14-product22)
company3-product4|ExoProd[0.0269]
company3-product42|0.265(company1-product30)+ 0.836(company9-product53)+ 0.726(company1-product80)+ 0.215(company11-product57)
company3-product94|7.289081186762547 x (company17-product33)^0.162 x (company5-product19)^0.234 x (company13-product43)^0.429 x (company16-product9)^0.175
company3-product1|ExoProd[0.0726]
company3-product85|ExoProd[0.0356]
company3-product99|ExoProd[0.0162]
company3-product74|min{(company9-product62)/0.662, (company16-product56)/0.744, (company3-product1)/0.742}
company3-product3|min{(company1-product23)/0.303, (company15-product85)/0.491, (company12-product30)/0.738, (company16-product12)/0.317, (company18-product91)/0.311, (company9-product36)/0.601, (company6-product40)/0.551, (company7-product88)/0.572}
company4-product66|8.218918248536156 x (company0-product23)^0.225 x (company9-product36)^0.102 x (company0-product30)^0.179 x (company1-product80)^0.228 x (company7-product88)^0.266
company4-product49|0.399(company1-product4)+ 0.368(company15-product85)+ 0.203(company9-product30)+ 0.154(company2-product57)+ 0.288(company10-product67)+ 0.706(company6-product40)+ 0.866(company13-product61)+ 0.490(company7-product88)
company4-product6|0.614(company2-product86)
company4-product65|min{(company16-product44)/0.626, (company1-product59)/0.247, (company8-product47)/0.600}
company4-product7|0.869(company16-product12)
company4-product47|4.532472232981315 x (company3-product58)^0.098 x (company3-product37)^0.298 x (company1-product6)^0.325 x (company3-product73)^0.278
company5-product77|0.796(company2-product17)+ 0.221(company2-product82)+ 0.241(company17-product81)+ 0.538(company11-product24)+ 0.699(company19-product93)+ 0.594(company19-product14)+ 0.855(company0-product73)
company5-product25|ExoProd[0.0322]
company5-product87|0.424(company0-product23)+ 0.694(company17-product27)+ 0.326(company1-product36)+ 0.182(company1-product80)+ 0.876(company0-product25)
company5-product14|0.214(company1-product86)
company5-product18|2.76865254679784 x (company11-product5)^0.572 x (company1-product62)^0.428
company5-product70|8.557733562045938 x (company1-product27)^0.172 x (company16-product56)^0.176 x (company9-product40)^0.195 x (company15-product25)^0.194 x (company1-product80)^0.157 x (company3-product61)^0.106
company5-product19|min{(company16-product12)/0.724, (company16-product56)/0.656}
company5-product37|min{(company0-product23)/0.760, (company15-product85)/0.330, (company9-product40)/0.353, (company17-product27)/0.214}
company5-product16|0.522(company16-product56)+ 0.707(company9-product62)+ 0.375(company15-product85)+ 0.767(company8-product79)+ 0.193(company10-product67)+ 0.304(company8-product5)+ 0.855(company19-product36)+ 0.705(company12-product99)
company5-product47|0.328(company3-product58)+ 0.795(company6-product6)+ 0.566(company3-product37)+ 0.229(company0-product73)
company5-product4|ExoProd[0.0798]
company6-product94|4.927271877014727 x (company15-product19)^0.213 x (company3-product33)^0.342 x (company13-product43)^0.163 x (company16-product9)^0.282
company6-product76|4.50251735109888 x (company1-product27)^0.123 x (company1-product20)^0.205 x (company3-product1)^0.140 x (company9-product53)^0.165 x (company3-product85)^0.210 x (company2-product86)^0.157
company6-product89|min{(company1-product23)/0.751, (company16-product20)/0.795, (company16-product12)/0.593, (company0-product57)/0.715, (company3-product85)/0.203, (company3-product99)/0.591}
company6-product9|2.3441631879405236 x (company1-product80)^0.529 x (company18-product91)^0.471
company6-product87|9.217114221763918 x (company1-product27)^0.112 x (company1-product23)^0.311 x (company11-product25)^0.196 x (company1-product80)^0.199 x (company11-product36)^0.181
company6-product6|min{(company9-product86)/0.573}
company6-product79|ExoProd[0.0725]
company6-product20|ExoProd[0.0297]
company6-product40|ExoProd[0.0494]
company6-product4|ExoProd[0.0565]
company6-product83|0.409(company16-product99)+ 0.820(company5-product25)+ 0.571(company10-product67)+ 0.779(company18-product91)+ 0.537(company13-product61)+ 0.201(company7-product88)
company6-product15|8.512399708023052 x (company5-product77)^0.374 x (company14-product98)^0.245 x (company8-product63)^0.381
company6-product10|0.419(company13-product86)+ 0.107(company1-product36)+ 0.535(company9-product30)+ 0.827(company18-product91)+ 0.301(company3-product62)
company7-product50|0.745(company10-product49)+ 0.507(company3-product74)+ 0.643(company11-product34)+ 0.239(company8-product41)+ 0.629(company8-product95)+ 0.648(company5-product78)+ 0.288(company14-product22)
company7-product87|0.605(company1-product23)+ 0.350(company17-product27)+ 0.795(company1-product36)+ 0.214(company15-product25)+ 0.338(company1-product80)
company7-product81|1.1510910420704055 x (company16-product56)^0.174 x (company5-product25)^0.207 x (company13-product86)^0.111 x (company9-product30)^0.140 x (company10-product67)^0.195 x (company3-product99)^0.173
company7-product88|ExoProd[0.0655]
company8-product63|min{(company19-product42)/0.235, (company13-product24)/0.505, (company3-product3)/0.330, (company17-product87)/0.707}
company8-product41|min{(company16-product12)/0.672}
company8-product17|0.419(company11-product57)
company8-product95|min{(company13-product25)/0.788}
company8-product79|ExoProd[0.0633]
company8-product3|0.291(company2-product30)+ 0.588(company1-product23)+ 0.689(company16-product40)+ 0.689(company15-product85)+ 0.648(company16-product12)+ 0.709(company18-product91)+ 0.653(company7-product88)+ 0.752(company19-product36)
company8-product47|0.805(company19-product37)+ 0.386(company17-product6)+ 0.793(company13-product58)+ 0.112(company0-product73)
company8-product5|ExoProd[0.0640]
company9-product30|ExoProd[0.0984]
company9-product45|6.416229274898752 x (company11-product54)^1.000
company9-product36|ExoProd[0.0803]
company9-product25|ExoProd[0.0627]
company9-product11|0.166(company16-product48)
company9-product95|0.342(company0-product25)
company9-product54|2.1858370867463695 x (company16-product12)^0.122 x (company10-product67)^0.165 x (company9-product40)^0.450 x (company3-product1)^0.263
company9-product96|0.787(company19-product42)+ 0.780(company11-product34)+ 0.612(company14-product22)+ 0.344(company1-product92)
company9-product62|ExoProd[0.0014]
company9-product55|3.7649611415856454 x (company11-product57)^0.163 x (company18-product91)^0.350 x (company1-product80)^0.327 x (company12-product30)^0.160
company9-product40|ExoProd[0.0993]
company9-product86|ExoProd[0.0704]
company9-product28|2.9908599521666437 x (company16-product20)^0.109 x (company15-product85)^0.177 x (company12-product30)^0.162 x (company8-product79)^0.206 x (company16-product12)^0.095 x (company9-product86)^0.115 x (company9-product36)^0.135
company9-product21|0.556(company16-product8)+ 0.822(company7-product50)+ 0.678(company17-product0)+ 0.877(company6-product94)+ 0.792(company12-product96)
company9-product33|min{(company16-product12)/0.497, (company9-product53)/0.460, (company11-product57)/0.247}
company9-product10|8.31824944926612 x (company9-product86)^0.223 x (company18-product91)^0.253 x (company3-product62)^0.183 x (company0-product30)^0.088 x (company9-product36)^0.253
company10-product67|ExoProd[0.0989]
company10-product92|min{(company16-product56)/0.377, (company16-product99)/0.236, (company1-product20)/0.343, (company1-product23)/0.752, (company17-product27)/0.670, (company10-product67)/0.566, (company9-product36)/0.739, (company7-product88)/0.616}
company10-product49|min{(company16-product40)/0.221, (company1-product4)/0.308, (company15-product85)/0.375, (company10-product67)/0.736, (company0-product30)/0.218, (company13-product61)/0.754, (company7-product88)/0.247, (company0-product57)/0.555}
company10-product35|min{(company11-product23)/0.607, (company16-product20)/0.268, (company14-product25)/0.308, (company16-product12)/0.759, (company10-product67)/0.313, (company3-product4)/0.512, (company9-product53)/0.234, (company19-product36)/0.386}
company11-product69|min{(company16-product46)/0.553, (company17-product0)/0.609, (company18-product29)/0.771, (company11-product45)/0.375}
company11-product18|min{(company16-product62)/0.489, (company16-product5)/0.632}
company11-product24|0.322(company1-product4)+ 0.733(company16-product40)+ 0.465(company0-product1)+ 0.316(company18-product91)+ 0.297(company0-product57)
company11-product23|ExoProd[0.0569]
company11-product82|0.861(company1-product30)+ 0.840(company17-product27)+ 0.232(company16-product12)+ 0.505(company18-product91)+ 0.899(company0-product25)
company11-product68|0.542(company6-product89)+ 0.458(company16-product9)+ 0.827(company2-product76)+ 0.337(company16-product60)+ 0.771(company11-product13)+ 0.806(company3-product42)
company11-product35|0.723(company1-product20)+ 0.463(company11-product23)+ 0.727(company14-product25)+ 0.221(company6-product4)+ 0.213(company16-product12)+ 0.498(company10-product67)+ 0.100(company9-product53)+ 0.327(company19-product36)
company11-product45|9.01935039670105 x (company11-product54)^1.000
company11-product25|ExoProd[0.0951]
company11-product32|min{(company12-product61)/0.221, (company0-product1)/0.699, (company17-product27)/0.757, (company11-product36)/0.658}
company11-product14|0.852(company9-product86)
company11-product11|0.765(company0-product48)
company11-product13|1.7077622530897372 x (company11-product57)^0.155 x (company1-product36)^0.229 x (company16-product5)^0.247 x (company6-product79)^0.369
company11-product70|3.4660936691250708 x (company16-product56)^0.229 x (company17-product27)^0.240 x (company14-product25)^0.210 x (company6-product40)^0.161 x (company0-product61)^0.092 x (company1-product80)^0.067
company11-product57|ExoProd[0.0292]
company11-product5|ExoProd[0.0515]
company11-product34|min{(company0-product1)/0.506, (company18-product91)/0.677, (company11-product79)/0.798}
company11-product15|min{(company18-product98)/0.299, (company2-product77)/0.557, (company19-product63)/0.332}
company11-product44|0.520(company11-product34)+ 0.100(company8-product41)+ 0.427(company5-product18)+ 0.385(company17-product10)+ 0.553(company2-product72)
company11-product48|min{(company1-product80)/0.531, (company11-product79)/0.381, (company13-product86)/0.501, (company9-product25)/0.653, (company3-product4)/0.445, (company9-product53)/0.211, (company6-product20)/0.378, (company3-product99)/0.468}
company11-product54|min{(company16-product12)/0.521, (company10-product67)/0.528, (company9-product40)/0.660, (company0-product1)/0.438}
company11-product46|min{(company2-product76)/0.430}
company11-product7|0.731(company16-product12)
company11-product79|ExoProd[0.0759]
company11-product86|ExoProd[0.0491]
company11-product94|0.527(company17-product33)+ 0.862(company5-product19)+ 0.327(company13-product43)+ 0.771(company16-product9)
company11-product36|ExoProd[0.0253]
company11-product0|min{(company19-product37)/0.285, (company11-product24)/0.431}
company11-product87|0.249(company0-product23)+ 0.468(company1-product27)+ 0.567(company9-product36)+ 0.428(company15-product25)+ 0.787(company1-product80)
company12-product59|4.400642975508886 x (company3-product66)^0.099 x (company16-product7)^0.066 x (company3-product74)^0.222 x (company15-product83)^0.152 x (company1-product52)^0.149 x (company3-product2)^0.092 x (company2-product84)^0.219
company12-product30|ExoProd[0.0991]
company12-product32|0.143(company3-product1)+ 0.440(company12-product61)+ 0.295(company19-product36)+ 0.425(company17-product27)
company12-product99|ExoProd[0.0510]
company12-product41|0.362(company16-product12)
company12-product61|ExoProd[0.0470]
company12-product38|0.110(company3-product85)+ 0.523(company17-product27)
company12-product96|min{(company3-product42)/0.431, (company11-product34)/0.296, (company14-product22)/0.431, (company1-product92)/0.766}
company12-product4|ExoProd[0.0222]
company12-product82|2.3981833244744246 x (company1-product30)^0.235 x (company1-product27)^0.164 x (company16-product12)^0.129 x (company9-product25)^0.289 x (company18-product91)^0.184
company12-product35|2.8425995378040794 x (company1-product20)^0.136 x (company11-product23)^0.182 x (company6-product4)^0.165 x (company16-product12)^0.089 x (company10-product67)^0.063 x (company9-product36)^0.140 x (company9-product53)^0.080 x (company0-product25)^0.144
company13-product58|0.235(company16-product56)+ 0.751(company5-product4)+ 0.182(company16-product12)+ 0.666(company9-product40)+ 0.125(company9-product53)+ 0.314(company3-product99)
company13-product25|ExoProd[0.0042]
company13-product48|0.595(company16-product99)+ 0.311(company17-product79)+ 0.225(company16-product20)+ 0.770(company9-product53)+ 0.726(company15-product25)+ 0.249(company1-product80)+ 0.792(company12-product4)+ 0.387(company2-product86)
company13-product65|0.393(company18-product44)+ 0.484(company12-product59)+ 0.435(company16-product47)
company13-product24|1.906096444298095 x (company1-product4)^0.207 x (company0-product1)^0.161 x (company2-product57)^0.179 x (company9-product40)^0.252 x (company18-product91)^0.201
company13-product61|ExoProd[0.0080]
company13-product2|0.732(company1-product80)+ 0.306(company17-product27)
company13-product38|5.8323881899553545 x (company1-product27)^0.485 x (company15-product85)^0.515
company13-product43|min{(company0-product23)/0.273, (company17-product27)/0.448, (company14-product25)/0.421, (company11-product5)/0.496, (company16-product12)/0.698, (company11-product36)/0.564}
company13-product3|7.1004288079107205 x (company2-product30)^0.075 x (company11-product23)^0.095 x (company1-product36)^0.141 x (company15-product85)^0.180 x (company16-product12)^0.081 x (company9-product40)^0.150 x (company18-product91)^0.182 x (company7-product88)^0.096
company13-product97|8.171274336299621 x (company9-product30)^0.428 x (company18-product91)^0.572
company13-product64|0.680(company17-product39)+ 0.107(company11-product11)+ 0.404(company17-product68)+ 0.436(company19-product71)
company13-product86|ExoProd[0.0617]
company13-product26|min{(company1-product27)/0.654, (company11-product57)/0.246, (company9-product40)/0.594, (company1-product80)/0.729, (company12-product61)/0.783}
company14-product76|min{(company1-product27)/0.539, (company3-product1)/0.732, (company9-product53)/0.274, (company6-product20)/0.583, (company3-product85)/0.497, (company2-product86)/0.747}
company14-product25|ExoProd[0.0321]
company14-product75|min{(company1-product80)/0.251, (company1-product20)/0.739}
company14-product11|6.510185348808217 x (company11-product48)^1.000
company14-product98|min{(company1-product55)/0.257, (company9-product33)/0.307, (company3-product66)/0.600}
company14-product15|0.827(company14-product98)+ 0.503(company2-product77)+ 0.188(company8-product63)
company15-product25|ExoProd[0.0778]
company15-product85|ExoProd[0.0359]
company15-product19|min{(company16-product12)/0.285, (company16-product56)/0.237}
company15-product60|min{(company1-product23)/0.604, (company15-product85)/0.441, (company16-product12)/0.609, (company18-product91)/0.368, (company12-product99)/0.752}
company15-product83|0.473(company14-product25)+ 0.685(company10-product67)+ 0.342(company18-product91)+ 0.402(company7-product88)+ 0.337(company3-product61)+ 0.586(company12-product99)
company15-product71|min{(company13-product38)/0.401, (company16-product31)/0.570, (company11-product70)/0.780, (company4-product49)/0.233}
company16-product39|4.35434012692674 x (company3-product26)^0.274 x (company5-product78)^0.150 x (company0-product31)^0.248 x (company1-product16)^0.328
company16-product89|0.187(company1-product23)+ 0.661(company0-product20)+ 0.786(company16-product12)+ 0.206(company3-product85)+ 0.466(company0-product57)+ 0.152(company12-product99)
company16-product12|ExoProd[0.0210]
company16-product81|0.890(company1-product30)+ 0.706(company16-product56)+ 0.831(company5-product25)+ 0.208(company13-product86)+ 0.538(company10-product67)+ 0.811(company12-product99)
company16-product20|ExoProd[0.0129]
company16-product62|ExoProd[0.0998]
company16-product68|0.144(company6-product9)+ 0.272(company14-product76)+ 0.465(company6-product89)+ 0.651(company16-product13)+ 0.565(company16-product60)+ 0.250(company16-product42)
company16-product21|0.415(company16-product8)+ 0.724(company16-product96)+ 0.587(company7-product50)+ 0.222(company17-product0)+ 0.563(company11-product94)
company16-product31|9.809808007388662 x (company16-product40)^0.147 x (company15-product85)^0.115 x (company0-product1)^0.116 x (company2-product57)^0.066 x (company16-product5)^0.224 x (company1-product80)^0.088 x (company7-product88)^0.243
company16-product9|8.996721635388926 x (company1-product80)^0.555 x (company18-product91)^0.445
company16-product90|0.414(company11-product36)+ 0.783(company16-product5)
company16-product14|min{(company13-product86)/0.535}
company16-product13|min{(company11-product57)/0.555, (company11-product36)/0.768, (company11-product5)/0.425, (company0-product79)/0.781}
company16-product38|0.739(company3-product85)+ 0.180(company17-product27)
company16-product8|8.333250422954498 x (company1-product95)^0.494 x (company3-product90)^0.506
company16-product5|ExoProd[0.0183]
company16-product76|min{(company1-product27)/0.729, (company15-product85)/0.426, (company0-product1)/0.325, (company1-product86)/0.590, (company9-product53)/0.232, (company6-product20)/0.411}
company16-product44|3.6117864915579414 x (company0-product18)^0.165 x (company11-product34)^0.162 x (company8-product41)^0.197 x (company9-product10)^0.251 x (company2-product72)^0.226
company16-product48|min{(company13-product25)/0.283, (company1-product80)/0.218, (company16-product99)/0.458, (company11-product79)/0.611, (company6-product4)/0.512, (company9-product86)/0.653, (company9-product53)/0.211, (company6-product20)/0.787}
company16-product46|0.144(company16-product76)
company16-product96|min{(company19-product42)/0.312, (company10-product92)/0.639, (company14-product22)/0.438, (company11-product34)/0.434}
company16-product7|0.371(company16-product12)
company16-product47|3.5495428747745583 x (company6-product6)^0.162 x (company13-product58)^0.157 x (company5-product37)^0.357 x (company0-product73)^0.323
company16-product56|ExoProd[0.0927]
company16-product42|0.552(company1-product30)+ 0.753(company9-product53)+ 0.390(company1-product80)+ 0.161(company0-product57)
company16-product99|ExoProd[0.0451]
company16-product60|0.837(company11-product23)+ 0.125(company16-product12)+ 0.115(company18-product91)+ 0.699(company3-product85)+ 0.778(company3-product99)
company16-product40|ExoProd[0.0772]
company16-product83|0.796(company14-product25)+ 0.512(company10-product67)+ 0.226(company18-product91)+ 0.294(company13-product61)+ 0.816(company7-product88)+ 0.645(company12-product99)
company17-product39|0.818(company5-product16)+ 0.283(company13-product26)+ 0.752(company5-product78)+ 0.525(company0-product31)
company17-product0|min{(company13-product24)/0.440, (company3-product37)/0.345}
company17-product87|0.761(company0-product23)+ 0.235(company1-product27)+ 0.585(company1-product36)+ 0.694(company1-product80)+ 0.603(company0-product25)
company17-product6|2.488299099964155 x (company1-product86)^1.000
company17-product11|0.298(company13-product48)
company17-product81|0.209(company16-product56)+ 0.722(company2-product86)+ 0.471(company10-product67)+ 0.867(company0-product30)+ 0.875(company15-product25)+ 0.895(company3-product99)
company17-product27|ExoProd[0.0249]
company17-product79|ExoProd[0.0524]
company17-product68|0.871(company6-product9)+ 0.824(company14-product76)+ 0.865(company6-product89)+ 0.248(company16-product13)+ 0.356(company16-product42)+ 0.746(company15-product60)
company17-product28|5.9239842081580925 x (company11-product79)^0.146 x (company9-product30)^0.076 x (company11-product86)^0.158 x (company16-product12)^0.138 x (company6-product20)^0.165 x (company19-product36)^0.155 x (company3-product85)^0.163
company17-product21|7.987231531265883 x (company16-product8)^0.115 x (company7-product50)^0.260 x (company0-product94)^0.257 x (company17-product0)^0.187 x (company12-product96)^0.181
company17-product33|5.743850566203784 x (company16-product12)^0.122 x (company9-product53)^0.429 x (company11-product57)^0.448
company17-product10|0.182(company1-product30)+ 0.521(company1-product62)+ 0.197(company1-product86)+ 0.136(company18-product91)+ 0.455(company9-product36)
company18-product44|3.013594697224867 x (company11-product18)^0.229 x (company11-product34)^0.181 x (company8-product41)^0.159 x (company17-product10)^0.252 x (company2-product72)^0.180
company18-product91|ExoProd[0.0499]
company18-product51|3.079687433271405 x (company16-product56)^0.227 x (company17-product79)^0.086 x (company16-product40)^0.194 x (company1-product4)^0.068 x (company15-product85)^0.072 x (company1-product80)^0.212 x (company3-product99)^0.141
company18-product98|min{(company9-product55)/0.528, (company17-product33)/0.495, (company3-product66)/0.394}
company18-product68|3.745783059509506 x (company19-product42)^0.151 x (company16-product9)^0.207 x (company2-product76)^0.169 x (company16-product60)^0.158 x (company0-product89)^0.214 x (company11-product13)^0.101
company19-product93|6.235754109016724 x (company1-product27)^0.141 x (company16-product56)^0.074 x (company15-product85)^0.216 x (company11-product5)^0.228 x (company9-product40)^0.151 x (company7-product88)^0.106 x (company0-product57)^0.084
company19-product58|0.270(company16-product56)+ 0.551(company16-product99)+ 0.431(company1-product4)+ 0.239(company16-product12)+ 0.885(company6-product40)+ 0.310(company9-product53)
company19-product36|ExoProd[0.0776]
company19-product14|4.223616175552786 x (company2-product86)^1.000
company19-product63|min{(company19-product42)/0.691, (company5-product87)/0.318, (company13-product24)/0.641, (company8-product3)/0.632}
company19-product81|min{(company1-product30)/0.329, (company16-product56)/0.655, (company5-product25)/0.660, (company13-product86)/0.476, (company10-product67)/0.730, (company3-product99)/0.716}
company19-product37|0.511(company16-product40)+ 0.223(company15-product85)+ 0.426(company1-product23)+ 0.880(company17-product27)
company19-product96|8.352568047108818 x (company19-product42)^0.148 x (company11-product34)^0.449 x (company14-product22)^0.263 x (company1-product92)^0.140
company19-product17|0.631(company0-product57)
company19-product42|0.874(company11-product57)+ 0.292(company9-product53)+ 0.471(company1-product80)+ 0.124(company12-product30)
