ts,source,target,product,weight
5,23,6,121,11836.0
5,27,37,133,36.0
5,35,61,124,19.0
5,16,10,119,1548.0
5,20,25,123,26532.0
5,45,54,126,120.0
5,27,54,133,120.0
5,23,52,130,10.0
5,5,67,132,20.0
5,19,43,122,112.0
5,23,70,125,36.0
5,23,25,120,29419.0
5,23,33,121,144.0
5,2,41,126,36.0
5,16,44,119,1212.0
5,45,65,126,108.0
5,6,29,131,3.0
5,23,16,122,2304.0
5,3,35,120,4719.0
5,23,22,122,9165.0
5,14,14,123,1828.0
5,10,35,130,108.0
5,0,64,130,49.0
5,4,26,121,2104.0
5,40,38,131,16.0
5,26,60,131,9.0
5,23,17,122,5393.0
5,7,30,133,112.0
5,0,45,121,64064.0
5,39,42,129,192.0
5,2,53,126,360.0
5,1,64,126,42.0
5,23,70,130,36.0
5,23,26,119,1578.0
5,23,44,122,4848.0
5,45,52,126,30.0
5,2,62,126,264.0
5,10,26,122,526.0
5,23,23,120,1356.0
5,23,38,130,10.0
5,17,26,127,8.0
5,23,14,119,1371.0
5,3,61,133,57.0
5,25,39,124,96.0
5,3,65,133,300.0
5,23,37,120,20117.0
5,23,45,120,64064.0
5,5,36,122,16.0
5,37,41,133,192.0
5,4,3,120,34799.0
5,0,40,122,9951.0
5,16,39,128,192.0
5,23,36,121,16.0
5,23,3,121,34799.0
5,23,6,119,8877.0
5,4,32,119,16992.0
5,16,42,128,256.0
5,3,1,120,96.0
5,23,10,122,6192.0
5,16,4,119,6169.0
5,31,32,129,24.0
5,23,35,125,36.0
5,23,67,130,10.0
5,0,16,119,576.0
5,3,2,120,33636.0
5,20,32,123,22656.0
5,23,43,119,56.0
5,33,47,132,16.0
5,46,39,129,144.0
5,13,64,132,14.0
5,23,29,130,2.0
5,14,56,124,32.0
5,33,40,132,8.0
5,8,30,126,84.0
5,3,12,120,36324.0
5,47,47,131,8.0
5,25,54,124,40.0
5,11,56,129,48.0
5,23,7,121,3320.0
5,25,53,133,360.0
5,0,22,119,27495.0
5,47,67,127,12.0
5,23,47,119,43632.0
5,16,27,119,96.0
5,44,35,128,36.0
5,4,19,119,2332.0
5,32,49,124,50.0
5,33,26,132,4.0
5,25,42,124,128.0
5,23,39,120,1629.0
5,32,27,124,4.0
5,20,11,123,480.0
5,37,62,133,264.0
5,23,47,121,58176.0
5,27,70,133,5.0
5,3,1,121,96.0
5,5,4,122,24676.0
5,16,32,128,32.0
5,22,67,131,10.0
5,25,35,124,271.0
5,23,65,130,75.0
5,4,27,120,29136.0
5,16,11,119,1280.0
5,5,19,122,9328.0
5,23,27,121,29040.0
5,32,32,124,16.0
5,40,30,131,112.0
5,7,7,120,3320.0
5,3,32,120,16992.0
5,4,40,119,29853.0
5,23,40,130,4.0
5,27,38,133,40.0
5,18,35,123,6292.0
5,23,29,122,3114.0
5,43,47,132,24.0
5,4,30,130,28.0
5,23,37,130,72.0
5,17,40,127,12.0
5,43,29,132,2.0
5,4,41,130,48.0
5,6,52,131,40.0
5,23,25,121,9520.0
5,23,25,119,19899.0
5,36,60,132,6.0
5,23,11,122,2240.0
5,17,47,127,26.0
5,16,56,128,64.0
5,0,0,122,14600.0
5,8,61,126,57.0
5,45,49,126,150.0
5,23,33,119,288.0
5,16,35,119,4719.0
5,16,47,122,14544.0
5,7,52,133,40.0
5,3,40,121,39804.0
5,4,23,121,1356.0
5,23,36,119,32.0
5,0,29,121,12402.0
5,23,17,119,16089.0
5,27,64,133,164.0
5,39,53,124,120.0
5,19,6,122,2959.0
5,23,43,121,112.0
5,0,39,119,3141.0
5,23,23,122,48548.0
5,20,27,123,128.0
6,8,30,126,2490.0
6,23,29,119,4680.0
6,30,54,143,16.0
6,23,52,130,739.0
6,62,92,140,11.0
6,36,67,127,2.0
6,39,32,129,312.0
6,23,36,121,48.0
6,3,13,121,8.0
6,23,23,120,1060.0
6,62,54,140,77.0
6,16,46,128,64.0
6,35,68,137,27.0
6,16,13,119,16.0
6,23,44,122,3232.0
6,20,32,123,18920.0
6,17,26,127,2.0
6,26,60,131,3.0
6,35,71,137,21.0
6,20,25,123,18332.0
6,23,35,125,1212.0
6,4,26,121,16432.0
6,23,33,122,60.0
6,3,24,133,2752.0
6,23,29,121,6240.0
6,19,35,130,1500.0
6,4,16,119,768.0
6,0,45,130,1544.0
6,23,11,122,1008.0
6,29,40,127,6.0
6,22,67,131,18.0
6,16,56,128,320.0
6,70,57,137,5.0
6,14,56,124,160.0
6,26,63,131,3.0
6,35,62,137,7.0
6,37,69,135,36.0
6,45,65,126,3252.0
6,45,58,126,740.0
6,25,62,133,3975.0
6,20,31,123,336.0
6,23,36,119,96.0
6,23,65,130,2107.0
6,23,25,120,29928.0
6,19,30,130,830.0
6,3,58,133,740.0
6,3,2,120,24528.0
6,17,26,131,4.0
6,4,31,119,504.0
6,16,10,122,24488.0
6,6,29,131,3.0
6,14,35,123,12024.0
6,23,17,119,28254.0
6,16,42,128,192.0
6,23,59,130,24.0
6,23,14,119,96.0
6,45,49,126,10476.0
6,35,54,137,29.0
6,33,67,132,36.0
6,4,26,122,4108.0
6,23,67,130,18.0
6,0,10,119,6122.0
6,2,52,126,2217.0
6,35,68,135,36.0
6,32,92,138,8.0
6,10,66,130,1548.0
6,3,65,133,8428.0
6,38,92,143,2.0
6,35,74,137,64.0
6,25,42,124,96.0
6,33,63,132,2.0
6,27,64,133,8384.0
6,40,38,131,6631.0
6,14,14,123,128.0
6,4,35,120,9018.0
6,22,41,131,9099.0
6,10,22,122,12.0
6,3,1,121,19224.0
6,27,45,133,1544.0
6,54,69,140,24.0
6,32,49,124,3492.0
6,38,73,139,8.0
6,25,66,133,1548.0
6,23,43,119,112.0
6,35,92,137,6.0
6,42,74,138,64.0
6,23,13,122,8.0
6,23,40,130,6.0
6,25,27,133,1964.0
6,23,37,130,544.0
6,11,32,128,416.0
6,25,62,124,1325.0
6,23,40,121,34768.0
6,23,33,121,60.0
6,16,35,119,9018.0
6,3,27,120,20464.0
6,23,3,121,58094.0
6,23,6,119,26760.0
6,23,4,122,2440.0
6,23,11,119,1332.0
6,4,8,120,78572.0
6,22,59,131,48.0
6,27,70,133,868.0
6,25,35,124,4916.0
6,14,68,124,297.0
6,2,41,126,4128.0
6,23,37,120,440.0
6,4,41,130,5419.0
6,23,37,121,440.0
6,47,24,131,2752.0
6,37,68,133,9.0
6,23,6,121,35680.0
6,6,52,131,2956.0
6,23,45,120,65352.0
6,44,35,128,1212.0
6,5,36,122,48.0
6,23,14,120,96.0
6,49,62,140,28.0
6,4,23,121,1060.0
6,23,68,125,144.0
6,53,57,140,20.0
6,7,30,133,3320.0
6,17,41,131,84.0
6,7,25,121,16179.0
6,47,40,131,10.0
6,35,73,137,12.0
6,14,27,123,1408.0
6,23,8,121,78572.0
6,3,49,133,10476.0
6,3,17,121,37738.0
6,1,59,126,24.0
6,8,61,126,4719.0
6,35,68,141,18.0
6,61,71,140,19.0
6,3,2,121,24528.0
6,3,35,133,2636.0
6,52,57,143,10.0
6,4,26,130,4.0
6,4,47,130,6.0
6,3,28,120,8193.0
6,47,47,131,6.0
6,23,28,119,8193.0
6,27,46,124,32.0
6,12,62,126,3975.0
6,3,52,133,2956.0
6,43,67,127,18.0
6,23,38,130,4555.0
6,30,69,143,12.0
6,20,28,123,10924.0
6,33,60,132,2.0
6,70,69,141,18.0
6,16,47,122,10054.0
6,8,38,126,2076.0
6,39,54,138,48.0
6,39,42,129,144.0
6,23,70,130,1144.0
6,47,45,131,3088.0
6,3,22,121,48.0
6,19,43,122,68.0
6,53,74,140,100.0
6,16,4,119,610.0
6,3,61,133,4719.0
6,4,23,119,16729.0
6,25,69,133,404.0
6,33,40,132,12.0
6,56,55,138,16.0
6,16,40,122,8692.0
6,23,24,130,688.0
6,4,45,121,65352.0
6,35,69,137,33.0
6,43,64,127,14.0
6,19,6,122,8920.0
6,45,66,126,1548.0
6,4,7,120,3699.0
6,37,41,133,20108.0
6,25,70,124,296.0
6,23,27,121,19408.0
6,23,16,122,3072.0
6,32,32,124,208.0
6,4,0,119,1160.0
6,27,59,133,24.0
6,16,25,119,13749.0
6,23,43,121,68.0
6,23,26,119,12324.0
6,54,55,140,16.0
6,23,69,130,808.0
6,32,27,124,1964.0
6,23,63,130,2.0
6,19,29,130,2.0
6,4,40,119,26076.0
6,23,47,121,40108.0
6,23,33,119,120.0
6,29,66,131,3096.0
6,23,22,119,36.0
6,27,55,137,4.0
6,23,17,122,9484.0
6,3,37,133,2092.0
6,11,56,129,240.0
6,47,58,131,1480.0
6,23,23,122,62676.0
6,12,64,126,5106.0
6,39,46,129,48.0
6,16,44,119,808.0
6,23,47,119,30054.0
6,47,64,131,92.0
6,17,65,131,183.0
6,0,64,130,2106.0
6,27,38,133,18220.0
6,23,7,121,3699.0
6,11,68,128,144.0
6,8,45,126,1544.0
6,23,0,122,4640.0
6,8,53,126,1629.0
6,4,3,120,58094.0
6,23,68,130,144.0
6,25,53,133,1629.0
6,40,30,131,3320.0
6,3,32,120,14118.0
6,49,73,140,22.0
6,17,47,127,6.0
6,3,1,120,19224.0
6,4,32,119,14262.0
6,2,24,126,2064.0
6,26,37,131,520.0
6,20,11,123,720.0
6,35,61,124,1573.0
6,39,53,124,543.0
6,33,64,132,20.0
6,23,60,130,2.0
6,16,27,119,1056.0
6,4,58,130,740.0
6,23,29,122,1560.0
7,23,52,130,2230.0
7,3,22,121,8.0
7,25,66,133,780.0
7,0,48,119,40.0
7,4,35,119,12756.0
7,23,17,122,17803.0
7,56,55,138,80.0
7,35,62,124,2402.0
7,42,74,138,48.0
7,23,26,119,1590.0
7,45,66,142,40.0
7,27,38,133,12256.0
7,65,69,139,39.0
7,29,66,131,1560.0
7,23,67,130,12.0
7,27,73,137,1558.0
7,64,78,139,24.0
7,22,67,131,12.0
7,3,32,120,3321.0
7,7,30,133,2384.0
7,41,86,139,80.0
7,31,32,129,168.0
7,68,83,141,72.0
7,0,39,119,6627.0
7,8,61,126,1812.0
7,8,45,126,1160.0
7,32,49,124,2102.0
7,26,33,131,3.0
7,16,39,128,64.0
7,45,85,142,160.0
7,40,45,131,2320.0
7,33,63,132,2.0
7,46,54,138,16.0
7,38,78,143,12.0
7,25,35,124,3484.0
7,35,71,137,192.0
7,13,26,132,4.0
7,61,73,140,1573.0
7,33,64,132,10.0
7,23,35,130,1480.0
7,14,27,123,640.0
7,41,64,143,370.0
7,66,65,142,560.0
7,0,22,119,6.0
7,4,29,121,11584.0
7,16,40,122,6112.0
7,41,52,143,724.0
7,0,33,121,80.0
7,14,35,123,17008.0
7,4,47,130,14.0
7,23,37,130,2339.0
7,27,59,133,1032.0
7,49,54,140,277.0
7,32,92,138,8.0
7,14,39,124,32.0
7,41,57,139,608.0
7,27,64,133,6120.0
7,23,43,119,96.0
7,23,0,122,6072.0
7,4,5,119,32.0
7,37,68,133,440.0
7,45,72,142,144.0
7,36,26,132,8.0
7,3,37,133,8292.0
7,23,21,120,624.0
7,7,23,121,1316.0
7,35,74,137,608.0
7,23,43,121,48.0
7,0,45,130,1160.0
7,41,71,139,396.0
7,45,59,126,1032.0
7,47,40,131,8.0
7,74,81,145,4.0
7,3,41,133,14432.0
7,37,69,135,40.0
7,64,68,139,27.0
7,7,25,121,6831.0
7,45,62,142,172.0
7,25,68,124,944.0
7,23,33,122,80.0
7,26,59,131,2064.0
7,38,52,139,520.0
7,45,86,142,160.0
7,4,26,122,530.0
7,23,24,130,1144.0
7,70,62,135,572.0
7,23,33,119,160.0
7,41,71,143,214.0
7,10,41,130,3804.0
7,10,66,130,780.0
7,10,64,130,1536.0
7,1,64,126,3882.0
7,3,3,120,20579.0
7,6,52,131,8920.0
7,3,65,133,8948.0
7,27,32,124,112.0
7,17,41,131,6280.0
7,23,27,121,38213.0
7,43,47,132,12.0
7,16,27,119,480.0
7,23,68,130,252.0
7,17,26,131,2.0
7,4,26,121,2120.0
7,23,14,119,1674.0
7,23,39,120,5835.0
7,7,45,133,1160.0
7,23,28,119,216.0
7,23,59,130,1032.0
7,14,14,123,2232.0
7,4,4,119,641.0
7,54,102,145,6.0
7,41,54,139,10.0
7,5,31,122,592.0
7,8,53,126,8193.0
7,16,10,122,10896.0
7,19,6,122,5784.0
7,13,47,122,12890.0
7,41,86,143,80.0
7,23,63,130,2.0
7,8,30,126,1788.0
7,53,57,140,48.0
7,23,68,125,252.0
7,26,29,131,3.0
7,23,65,130,3042.0
7,23,25,120,27885.0
7,17,65,131,5359.0
7,3,52,133,8920.0
7,37,68,135,160.0
7,4,45,121,121452.0
7,23,8,121,45984.0
7,5,4,122,2564.0
7,65,74,143,24.0
7,8,52,126,6690.0
7,3,24,133,4576.0
7,19,22,122,2.0
7,45,66,126,780.0
7,16,48,122,160.0
7,23,47,119,38670.0
7,23,14,120,1674.0
7,52,65,143,280.0
7,4,27,120,38693.0
7,4,16,119,800.0
7,23,11,119,720.0
7,35,61,124,604.0
7,37,51,139,136.0
7,4,42,119,72.0
7,2,41,126,2700.0
7,23,29,122,2896.0
7,30,69,143,608.0
7,32,87,138,96.0
7,24,51,143,136.0
7,40,30,131,2384.0
7,20,25,123,28072.0
7,58,64,142,740.0
7,35,87,137,84.0
7,23,29,130,2.0
7,23,7,121,1884.0
7,65,73,143,12.0
7,41,72,139,72.0
7,23,19,122,5568.0
7,38,69,139,739.0
7,32,27,124,2604.0
7,16,5,122,16.0
7,3,49,133,6306.0
7,23,26,130,2.0
7,3,5,121,16.0
7,40,38,131,3988.0
7,70,55,137,296.0
7,4,40,119,18336.0
7,32,39,129,48.0
7,23,44,122,4832.0
7,35,93,141,112.0
7,7,70,133,155.0
7,38,73,139,2324.0
7,0,10,119,2724.0
7,41,84,135,232.0
7,28,53,124,2731.0
7,10,33,130,2.0
7,92,92,145,2.0
7,38,92,143,34.0
7,25,53,133,8193.0
7,49,69,140,484.0
7,45,49,126,6306.0
7,23,36,121,6.0
7,3,2,120,18816.0
7,47,64,131,12631.0
7,30,66,143,120.0
7,25,62,133,7206.0
7,13,43,122,48.0
7,27,93,137,168.0
7,69,68,135,404.0
7,55,82,145,2.0
7,23,23,122,79012.0
7,23,36,122,6.0
7,20,28,123,144.0
7,27,69,137,130.0
7,54,108,153,3.0
7,23,29,119,8688.0
7,26,63,131,3.0
7,41,71,135,208.0
7,44,35,128,808.0
7,52,57,143,459.0
7,3,35,120,12756.0
7,68,57,137,9.0
7,38,85,143,480.0
7,11,68,128,252.0
7,4,31,119,148.0
7,27,83,137,108.0
7,62,87,140,141.0
7,33,33,132,2.0
7,53,74,140,495.0
7,74,97,145,6.0
7,43,29,132,4.0
7,45,71,142,276.0
7,16,23,119,21069.0
7,54,103,145,6.0
7,27,56,124,240.0
7,4,32,119,3321.0
7,15,42,123,48.0
7,74,108,145,4.0
7,25,70,124,155.0
7,43,64,127,2.0
7,4,30,130,596.0
7,65,62,135,460.0
7,16,25,119,21054.0
7,59,78,142,24.0
7,23,3,121,20579.0
7,23,38,130,3064.0
7,45,57,142,48.0
7,23,40,130,8.0
7,30,54,143,102.0
7,16,17,119,53337.0
7,66,52,142,988.0
7,3,61,133,1812.0
7,23,47,121,51560.0
7,24,55,143,552.0
7,11,56,129,360.0
7,2,24,126,3432.0
7,23,6,119,17352.0
7,26,37,131,2035.0
7,23,37,121,30939.0
7,7,37,120,30939.0
7,23,35,125,808.0
7,45,65,126,1014.0
7,35,54,137,214.0
7,16,32,128,224.0
7,23,6,121,23136.0
7,23,23,120,1316.0
7,3,2,121,18816.0
7,47,24,131,4576.0
7,38,59,143,136.0
7,45,62,126,7206.0
7,41,62,139,14.0
7,35,68,137,303.0
7,38,87,143,30.0
7,23,7,120,1884.0
7,23,44,121,40.0
7,16,56,128,480.0
7,3,17,121,71140.0
7,4,0,119,1518.0
7,41,93,135,632.0
7,4,8,120,45984.0
7,3,44,120,40.0
7,92,82,153,1.0
7,38,65,139,280.0
7,35,71,135,112.0
7,47,47,131,15.0
7,4,19,119,1392.0
7,1,38,126,924.0
7,23,45,120,121452.0
7,45,51,142,272.0
7,49,71,140,261.0
7,18,39,123,8308.0
7,49,92,140,59.0
7,23,40,121,24448.0
7,3,35,133,2204.0
7,20,32,123,4428.0
7,55,79,145,2.0
7,20,11,123,480.0
7,35,83,135,480.0
7,49,62,140,2411.0
7,0,21,121,624.0
7,33,40,132,16.0
7,62,55,140,1184.0
7,74,104,145,2.0
7,3,27,133,2604.0
7,16,44,119,1248.0
7,23,16,122,3200.0
7,45,59,142,272.0
8,23,37,121,28401.0
8,4,40,119,9798.0
8,16,56,128,320.0
8,23,28,119,1974.0
8,27,61,133,11019.0
8,59,64,142,472.0
8,8,53,126,5835.0
8,65,62,135,1468.0
8,4,23,119,10161.0
8,10,60,130,10.0
8,44,35,128,1168.0
8,66,117,146,8.0
8,47,47,131,12.0
8,3,32,120,21381.0
8,86,113,151,40.0
8,4,16,119,896.0
8,20,25,123,18800.0
8,35,62,141,286.0
8,45,86,142,560.0
8,52,76,146,92.0
8,43,64,127,6.0
8,4,31,119,360.0
8,69,102,144,9.0
8,73,92,147,2.0
8,45,59,126,1140.0
8,69,107,148,28.0
8,29,24,131,904.0
8,23,44,122,3568.0
8,16,42,119,216.0
8,16,33,119,152.0
8,3,3,120,28065.0
8,87,118,145,10.0
8,49,54,140,303.0
8,37,58,133,156.0
8,48,31,128,40.0
8,62,55,140,2280.0
8,64,68,139,222.0
8,16,47,122,6585.0
8,53,74,140,587.0
8,6,63,131,12.0
8,8,38,126,2730.0
8,69,74,148,12.0
8,5,26,132,4.0
8,24,55,143,1120.0
8,27,56,124,160.0
8,27,70,133,200.0
8,0,39,119,2046.0
8,33,64,132,12.0
8,25,35,124,6387.0
8,69,107,147,112.0
8,23,29,121,5920.0
8,23,28,120,822.0
8,64,72,143,72.0
8,4,35,120,1455.0
8,64,85,139,16.0
8,0,45,130,1518.0
8,35,68,141,202.0
8,64,83,139,204.0
8,23,47,121,26340.0
8,33,63,132,8.0
8,16,32,128,96.0
8,68,83,141,112.0
8,4,36,122,16.0
8,16,44,119,892.0
8,30,69,143,196.0
8,37,69,135,220.0
8,35,69,137,26.0
8,3,1,121,20988.0
8,25,42,124,176.0
8,68,108,144,3.0
8,14,14,123,256.0
8,23,11,122,224.0
8,14,39,123,2728.0
8,3,35,133,4163.0
8,27,55,137,570.0
8,45,85,142,56.0
8,32,87,138,56.0
8,71,92,153,1.0
8,53,57,140,1772.0
8,3,17,121,19088.0
8,8,45,126,1518.0
8,35,61,124,3673.0
8,35,27,124,499.0
8,23,39,120,2046.0
8,10,64,130,2714.0
8,35,83,135,272.0
8,54,97,147,5.0
8,27,59,133,1140.0
8,4,26,121,1804.0
8,23,31,130,40.0
8,23,68,125,148.0
8,62,87,140,92.0
8,17,41,131,11269.0
8,20,31,123,240.0
8,30,86,143,280.0
8,26,60,131,15.0
8,7,30,133,1884.0
8,73,82,147,2.0
8,54,103,145,4.0
8,43,47,132,26.0
8,45,57,142,48.0
8,27,93,137,84.0
8,20,28,123,1864.0
8,37,54,139,538.0
8,17,65,131,3136.0
8,23,23,120,948.0
8,14,68,124,542.0
8,15,32,123,28508.0
8,64,74,139,58.0
8,41,59,139,272.0
8,87,97,145,12.0
8,27,83,137,168.0
8,0,8,121,29412.0
8,43,26,127,2.0
8,65,98,151,36.0
8,23,35,125,1168.0
8,23,29,130,8.0
8,33,33,132,10.0
8,32,32,124,48.0
8,14,35,123,1940.0
8,8,30,126,1413.0
8,4,58,130,156.0
8,52,57,143,1414.0
8,3,1,120,20988.0
8,0,36,119,32.0
8,3,49,133,3177.0
8,30,54,143,120.0
8,23,36,121,16.0
8,37,83,139,276.0
8,71,97,153,4.0
8,23,7,121,4947.0
8,39,54,138,16.0
8,3,65,133,5764.0
8,74,81,145,2.0
8,57,104,147,8.0
8,38,65,139,224.0
8,26,37,131,500.0
8,25,53,133,5835.0
8,4,47,130,10.0
8,4,25,121,4165.0
8,37,62,133,1365.0
8,23,29,119,4440.0
8,23,24,130,226.0
8,87,102,145,2.0
8,65,105,151,57.0
8,45,64,126,6810.0
8,35,31,124,80.0
8,6,30,131,1884.0
8,32,49,124,1059.0
8,23,16,122,3584.0
8,74,104,145,6.0
8,3,37,133,2196.0
8,59,62,142,528.0
8,16,42,128,352.0
8,4,26,122,451.0
8,74,108,145,4.0
8,23,66,130,996.0
8,57,73,148,129.0
8,27,64,133,10808.0
8,68,79,144,3.0
8,47,64,131,9530.0
8,25,66,133,996.0
8,24,59,143,24.0
8,4,8,120,29412.0
8,59,78,142,32.0
8,69,86,148,1.0
8,65,86,151,47.0
8,23,14,120,192.0
8,23,29,122,1480.0
8,36,67,132,24.0
8,3,24,133,904.0
8,16,40,122,3266.0
8,52,78,146,146.0
8,65,93,139,168.0
8,68,97,144,3.0
8,73,79,153,2.0
8,17,59,131,2280.0
8,49,69,140,20.0
8,85,85,146,48.0
8,4,67,130,2.0
8,23,33,122,76.0
8,3,27,133,499.0
8,41,93,135,140.0
8,26,33,131,15.0
8,23,11,119,344.0
8,23,26,119,1353.0
8,66,101,146,32.0
8,23,59,130,1140.0
8,4,26,130,2.0
8,64,64,139,1556.0
8,68,69,141,14.0
8,16,4,119,2981.0
8,31,68,128,148.0
8,3,2,120,8544.0
8,45,62,126,1365.0
8,16,35,119,1455.0
8,35,69,141,6.0
8,23,63,130,8.0
8,64,62,143,14.0
8,71,79,147,1.0
8,16,39,128,32.0
8,40,38,131,6112.0
8,19,35,130,1392.0
8,35,71,137,456.0
8,23,17,122,4772.0
8,62,92,140,30.0
8,23,52,130,969.0
8,17,47,127,10.0
8,38,73,139,2532.0
8,4,19,119,7973.0
8,23,38,130,3382.0
8,87,111,153,15.0
8,78,117,149,6.0
8,21,58,126,156.0
8,35,62,137,1484.0
8,3,2,121,8544.0
8,35,92,137,110.0
8,71,103,152,64.0
8,74,81,153,2.0
8,27,45,133,1518.0
8,65,68,135,416.0
8,70,68,137,93.0
8,11,56,129,240.0
8,5,67,132,4.0
8,74,104,153,1.0
8,41,62,139,2179.0
8,23,43,119,88.0
8,2,24,126,678.0
8,23,14,119,192.0
8,45,59,142,48.0
8,23,47,119,19755.0
8,69,103,147,10.0
8,14,39,124,16.0
